Press this button for information about Police Quest.	按這個按鈕查看《警察故事》的遊戲資訊。
As you walk by the room, you catch a snippet of what must be one of the free in-room movies..."Tonight...Dino DeLaurentis presents a Brian DePalma Production of a George Romero Film. John Carpenter's TEDDY BEAR'S PICNIC! You've never seen teddy bears like these before! If you go down to the woods today, you're in for a BIG surprise!"	你經過房間時，聽到裡面電視正播放的應該是那種免費客房電影……「今晚……Dino DeLaurentis 監製，Brian DePalma 執導，George Romero 原著改編，John Carpenter 的《泰迪熊野餐》！你從沒見過這樣的泰迪熊！如果你今天走進森林，等著你的會是天大的驚喜！」
%s call%s.	%s%s 跟注。
You can not pass since there is already a bet of %d chip%s placed.	你不能過牌，因為賭注已經有 %d 枚籌碼%s。
You can not ante at this time.	你現在不能下前注。
You can not call at this time.	你現在不能跟注。
You can not deal the cards right now.	你現在不能發牌。
You can not fold at this time.	你現在不能蓋牌。
%s %s raised %d chip%s.	%s%s 加注了 %d 枚籌碼%s。
Please deal the cards first.	請先發牌。
You are only allowed to discard 3 cards unless you keep an ace.	你最多只能丟棄 3 張牌，除非你留了一張 A。
%s fold%s.	%s 蓋牌%s。
%s %s anted up %d chip%s.	%s%s 下了 %d 枚籌碼%s 的前注。
Flush	同花
Four of a Kind	四條
Full House	葫蘆
High Card	高牌
One Pair	一對
Straight	順子
Straight Flush	同花順
Three of a Kind	三條
Two Pairs	兩對
has	has
%s %s bet %d chip%s.	%s%s 下注了 %d 枚籌碼%s。
have	have
You have reached your maximum bet.	你已經達到最高下注額。
You have reached your minimum bet.	你已經達到最低下注額。
You must bet at least %d chip%s.	你至少要下注 %d 枚籌碼%s。
Frank	Frank
Gene	Gene
Otto	Otto
You	你
You can not change your bet at this time.	你現在不能更改賭注。
%s pass%s.	%s 過牌%s。
Play	玩牌
Please discard your unwanted cards now.	現在請丟棄你不需要的牌。
es	es
Would you like to Play Poker or Skip it?	你想要玩撲克，還是跳過？
You still have to ante.	你還必須下前注。
You still have a bet to make.	你還有賭注要下。
%s take%s %d card%s.	%s%s 拿了 %d 張牌%s。
This hand is a tie between	這一局平手的雙方是
%s win%s.	%s 獲勝%s。
The winner is	獲勝者是
Skip It	跳過
It is your turn to deal now.	現在輪到你發牌了。
You lose.	你輸了。
You win!	你贏了！
It's the door of your car.	這是你的車門。
It feels like a car.	摸起來像是一輛車。
That's not an option at this time.	現在無法這麼做。
It's your car.	這是你的車。
If you can't take a simple order like 'Sit Down', Bonds, you're going to have trouble advancing in the force. Dooley's not YOUR biggest fan right now.	如果連「坐下」這種簡單命令都做不到，Bonds，你很難在警隊升遷。Dooley 現在可不是你的支持者。
You're supposed to be an example for the people of Lytton, Bonds, not a sleazeball. You were bounced out of the force so fast your head is still spinning. Hope you like your new career at Happy Donut.	Bonds，你應該是 Lytton 市民的榜樣，不是個卑鄙之徒。你被警隊踢出去的速度快得頭都還在暈。希望你喜歡在 Happy Donut 的新工作。
This game upholds the law, partner. Come back when you find your documentation.	這場遊戲維護法律，夥伴。找到你的文件後再回來吧。
Thanks for playing Police Quest 1.	感謝遊玩《警察故事 1》。
One must stop at stop signs, don't you think?	遇到停車標誌就該停下，不是嗎？
Because of your failure to follow police procedure, you've just been clobbered by a sloppy drunk. You sure look cute in that neck brace.	因為你沒有遵守警察程序，你剛被一名醉漢狠狠撞倒。戴著頸圈的樣子還真可愛。
Bill Barnum was delighted that you didn't arrest him. In fact, he was so happy that he celebrated with a fifth of scotch, and then ran into five people, two cats, and a cement mixer. Internal Affairs found you guilty of gross negligence. We hope you're enjoying your new career as a shoe salesman. Say "Hi" to Al for us.	Bill Barnum 很高興你沒有逮捕他。事實上他開心到喝了整瓶威士忌慶祝，接著撞上五個人、兩隻貓和一台混凝土攪拌車。內務調查認定你嚴重疏忽職守。希望你喜歡當鞋類推銷員的新工作。替我們向 Al 問好。
It was very kind of you to cuff Mr. Barnum in the front, Bonds. You'll have plenty of time to reflect on your gentle deed as you're lying in the hospital with tubes up your nose, recovering from a fractured vertabrae.	Bonds，把 Barnum 先生的手銬銬在前面真是體貼。你會有很多時間躺在醫院裡、鼻子插著管子，反省自己這份溫柔，直到脊椎骨折康復為止。
They taught you to lock up your gun before entering a jailhouse during the first week of the Academy, Bonds. It looks like you could use a little review. Unfortunately, at the moment, you're a little perforated.	Bonds，警校第一週就教過你進入監獄前要鎖好槍。看來你需要複習一下。可惜此刻的你，身上已經多了幾個洞。
Maybe you should have brushed up your poker skills before taking those guys on. You know what they say; if you can't run with the big dogs, stay on the porch!	也許你該先磨練一下撲克技巧，再去挑戰那些人。俗話說：沒本事和大狗一起跑，就待在門廊上！
It was everything you've ever imagined. Unfortunately, Lt. Morgan called you just as Marie was calling on her maker. Her foot knocked the phone off the hook... and the rest is history. In fact, your career is history.	那一切正如你想像的一樣。可惜就在 Marie 送命時，Morgan 中尉打電話找你。她的腳把電話踢離了話筒……其餘的就成了歷史。事實上，你的職涯也成了歷史。
You were supposed to be blending in, not drawing attention to yourself. Maybe next time you should act like a civilized gangster and pay for your drink, mmm?	你本該融入環境，而不是引人注意。下次也許該像個文明的黑幫分子，付清你的飲料錢，嗯？
You never have been able to hold your liquor, Bonds. After your third rum and coke, you tore off your clothes and ran through the hallway shouting 'Guess what, I'm a cop'. Lt. Morgan removed you from the case, and Sgt. Dooley put you back on a foot patrol. Oh, well, walking is good for you.	Bonds，你向來不勝酒力。喝下第三杯蘭姆可樂後，你脫光衣服在走廊奔跑，大喊「猜猜我是警察」。Morgan 中尉把你調離案件，Dooley 警佐則把你送回步巡。算了，走路對你有益。
As you're slugging down your rum and coke, you hear a familiar angry bellow. It's Sgt. Dooley, who's here meeting his elderly, out-of-town aunt Angina. Unfortunately, the force takes a dim view of drinking in uniform... oh well, you can get a job at the mall.	你正灌下蘭姆可樂時，聽見熟悉的怒吼。是 Dooley 警佐，他來這裡會見外地來的年長姑媽 Angina。可惜警隊不允許穿制服喝酒……算了，你可以去購物中心找工作。
Because you failed to perform a walk-around safety check before you got into your car, you failed to notice that you had picked up a nail. Normally this would only result in a reprimand...but unfortunately for you, your tire blew out in a neighborhood that considers cops to be a nice after-dinner snack. You were dragged out of your car by a howling mob of junkies, thugs, and killers. It's going to be a closed-casket funeral...	因為上車前沒有繞車檢查，你沒發現輪胎扎進了釘子。通常這只會換來斥責……但不幸的是，你的輪胎在一個把警察當餐後點心的街區爆胎了。你被一群嚎叫的癮君子、暴徒和殺人犯拖出車外。這將是一場封棺葬禮……
Your failure to follow police procedure allowed the suspect to escape. Lt. Morgan was less than impressed by the fact that you couldn't control a sixteen year old junkie. You're off the case.	你沒有遵守警察程序，讓嫌犯逃脫。Morgan 中尉對你連十六歲的吸毒少年都控制不了十分失望。你被調離本案。
Congratulations, you just shot a sixteen year old, unarmed suspect. Internal affairs kicked you off the force immediately. You didn't know red tape could move that fast. Your murder trial starts tomorrow...	恭喜，你剛射殺了一名手無寸鐵的十六歲嫌犯。內務調查立刻把你逐出警隊。沒想到官僚程序也能這麼快。你的謀殺審判明天開始……
Good job, Bonds, you just scared off the suspects. Lt. Morgan pulled you off the case. Oh well, traffic patrol isn't THAT bad.	做得好，Bonds，你剛把嫌犯嚇跑了。Morgan 中尉把你調離案件。算了，交通巡邏也沒那麼糟。
Because you didn't search your suspect, you didn't find the little packet of cocaine in his pocket. On the way back to the station, the terrified boy managed to swallow it. He died three hours later. You were kicked off the force for gross negligence.	因為你沒有搜查嫌犯，沒發現他口袋裡的小包古柯鹼。回警局途中，驚恐的男孩設法把它吞了下去。他三小時後死亡。你因嚴重疏忽被逐出警隊。
Your failure to halt Simms allowed him to escape. Two weeks later he washed up in Cotton Cove, dead of an OD. Lt. Morgan lost all faith in you, and pulled you off the case. The boy's death continues to haunt you.	你沒能制止 Simms，讓他逃走。兩週後，他因藥物過量死在 Cotton Cove 被發現。Morgan 中尉對你完全失去信心，把你調離案件。男孩的死持續纏繞著你。
You just arrested two people for loitering in the park, Bonds. No drugs were ever found, and the case was thrown out of court. Lt. Morgan took you off the case immediately. Next time, wait till you see something that might constitute a crime.	Bonds，你剛因在公園遊蕩逮捕了兩人。始終沒找到毒品，案件也被法院駁回。Morgan 中尉立刻把你調離案件。下次等看到真正可能構成犯罪的行為再行動。
You seemed to have contracted a severe case of lead poisoning. Perhaps if you had followed Lt. Morgan's instructions and called him, he might have sent you some BACKUP!	你似乎染上了嚴重的鉛中毒。或許你若遵照 Morgan 中尉的指示呼叫他，他就會派支援來！
Because you didn't give your backup team your location, they couldn't find you. Oh, they found you eventually...weighted down at the bottom of the lake. Maybe you should be a little more observant of your surroundings next time.	因為你沒有告知支援小隊位置，他們找不到你。噢，他們最後還是找到你了……你被加重後沉在湖底。下次也許該更留意周遭環境。
You resemble a piece of ketchup-soaked swiss cheese. Calling for backup might have been a good idea.	你看起來像一塊泡在番茄醬裡的瑞士起司。呼叫支援或許是個好主意。
Restart	重來
Restore	還原
Basic intuition should tell you that cuffing a dangerous felon is a good thing to do, Bonds. You're lawn fertilizer.	基本直覺應該會告訴你，給危險重犯上手銬是件好事，Bonds。你現在是草坪肥料。
A policeman has to be able to think fast and make split-second decisions. The only decision you need to make now is whether you want to push up daisies or begonias.	警察必須能夠迅速思考、在瞬間做出決定。而你現在唯一需要做的決定，就是你比較想長眠在雛菊底下，還是秋海棠底下。
Taking on a potentially dangerous suspect without any backup isn't brave, it's stupid. Nice toe tag, Bonds.	沒有支援就對付可能危險的嫌犯不是勇敢，而是愚蠢。腳趾標籤不錯，Bonds。
Gunning down suspects like clay pigeons may be quite the thing to do in the movies, but in real life all it gets you is a place in the unemployment line. Better luck next time, Hoot Gibson.	像打飛靶一樣射殺嫌犯在電影裡或許很威風，但現實只會讓你排在失業隊伍裡。下次好運，Hoot Gibson。
If you had searched the suspect, you would have found the handgun he was concealing in his pants. You found it, all right--all six rounds worth. At least your partner shot the punk. Makes you feel warm all over, doesn't it?	如果你搜查嫌犯，就會找到他藏在褲子裡的手槍。你確實找到了——裡面還有六發子彈。至少你的搭檔擊斃了那個混蛋。是不是讓你全身暖呼呼的？
A dangerous situation like this one is where police procedure becomes critical. Your failure to follow it just got you a one-way ticket to Club Morgue.	這種危險情況正是警察程序至關重要的時候。你沒有遵守程序，結果拿到一張前往太平間俱樂部的單程票。
Approaching a suspect known to be armed and dangerous without drawing your gun isn't the best idea you've had all day. Your partner gunned the punk down... not that it does YOU any good.	接近已知持械且危險的嫌犯卻不拔槍，絕不是你今天最好的主意。你的搭檔擊斃了那個混蛋……可惜對你一點幫助也沒有。
Killing people just isn't all it's cracked up to be. Perhaps shooting an unarmed civilian wasn't such a hot idea after all...	殺人並不像想像中那麼威風。也許射殺手無寸鐵的平民，終究不是什麼好主意……
When you drew your firearm, the bikers froze in terror. While you were soaking up the power trip, one of their old ladies pulverized your skull with a whiskey bottle. Perhaps you should think twice next time about drawing your gun on psychotic suspects who have you surrounded...	你拔槍時，騎士們嚇得僵住。你正沉浸在權力快感中，其中一名女眷用威士忌酒瓶砸碎了你的頭。下次對包圍你的瘋狂嫌犯拔槍前，也許該三思……
Negociating with a perp can be a good idea in some circumstances, but when the subject is violent and the situation volatile, action speaks louder than words. Willy will be scraping you off the floor for quite some time.	跟嫌犯談判有時候是個好主意，但當對象很暴力、情勢又一觸即發時，行動勝於空談。Willy 接下來得花好一陣子，才能把你從地板上刮起來了。
The Department doesn't issue you equipment so you can leave it in your locker, Bonds. If you had come prepared, you wouldn't be a grease spot on the floor of a sleazy bar right now.	警局配發裝備不是讓你留在置物櫃裡的，Bonds。若你做好準備，現在就不會成為下流酒吧地板上的一灘油漬。
A police officer has to act quickly and decisively, Bonds. His life depends on it...as you can plainly see.	Bonds，警察必須迅速果斷地行動。他的性命就靠這個……你現在應該看得很清楚了。
An integral part of the patrol officer's success lies in his or her ability to control the vehicle they drive. You might consider the functions of the brake and/or steering wheel in order to prevent such an embarrassing accident in the future.	巡邏警員成功與否，很大一部分取決於他們能不能控制好自己開的車。你或許該想想煞車跟方向盤是做什麼用的，以免以後再出這種丟臉的意外。
Don't bother, Bonds. There are no clues to be found in the carpeting.	別白費力氣了，Bonds。地毯裡找不到任何線索。
It's the same carpet that you've seen all over the hotel.	這跟你在旅館裡到處看到的地毯一樣。
You knock on the door, but no one can hear you over the tuba.	你敲了敲門，但那把低音號的聲音太大，沒人聽得見。
You tap at the door.	你輕敲了一下門。
Sssssh!	噓——！
It's not your room. Your key won't work.	這不是你的房間，你的鑰匙打不開。
It's room 204.	這是 204 號房。
It's room 304.	這是 304 號房。
OOOOM pa pa OOOOM pa pa OOOOM pa pa OOOOM pa pa...	OOOOM pa pa OOOOM pa pa OOOOM pa pa OOOOM pa pa...
Your lungs just can't compete with a tuba.	你的肺活量根本比不過那把低音號。
Oh, do go away. I'm trying to work on my swing. I have the most dreadful hook, you see...	喔，走開啦。我正在練習我的揮桿呢。你也知道，我這一桿實在勾得很難看……
It has no switch. You can't control it.	它沒有開關，你控制不了。
You still can't reach it. You'll never be able to reach it. Give it up.	你還是搆不到，你永遠都搆不到。放棄吧。
It's paneling. No surprises there.	這是壁板，沒什麼特別的。
This is the second floor hallway of the Hotel Delphoria.	這裡是 Delphoria 飯店的二樓走廊。
OOOOM pa pa OOOOM pa pa OOOOM pa pa OOOOM pa pa	OOOOM pa pa OOOOM pa pa OOOOM pa pa OOOOM pa pa
FORE!	Fore！
You hear a loud crash.	你聽到一聲巨響的撞擊聲。
"Oh, blast it all."	「喔，真是見鬼了。」
Thank you for playing Police Quest 1.	感謝你遊玩《Police Quest 1》。
Music Composed and Performed by Rob Atesalp	音樂創作與演奏：Rob Atesalp
Animators: Cindy Walker Daryle Smith Al Roughton Frances Anne Powell Deanna Yhalkee Spartaco Margioni Jim Larsen	動畫師：Cindy Walker、Daryle Smith、Al Roughton、Frances Anne Powell、Deanna Yhalkee、Spartaco Margioni、Jim Larsen
Programmers: Krishnan Shankar Charles "Chip" Kerchner III Todd Powers Carlos Escobar Michael Brock Hugh Diedrichs Scott Murphy Mike Larsen	程式設計：Krishnan Shankar、Charles「Chip」Kerchner III、Todd Powers、Carlos Escobar、Michael Brock、Hugh Diedrichs、Scott Murphy、Mike Larsen
Sound Effects Rob Atesalp	音效：Rob Atesalp
Additional Written Material: Lorelei Shannon Scott Murphy	額外文字資料：Lorelei Shannon、Scott Murphy
Special Thanks To: Kit Rees, Model Assembly	特別感謝：Kit Rees、Model Assembly
Very Special Thanks To: Hugh Diedrichs, SWAT Programming Carlos Escobar, SWAT Programming Josh Mandel, SWAT Director Stuart Moulder, SWAT Producer	特別感謝：Hugh Diedrichs（SWAT 程式設計）、Carlos Escobar（SWAT 程式設計）、Josh Mandel（SWAT 導演）、Stuart Moulder（SWAT 製作人）
Quality Assurance: Mike Pickhinke John Ratcliffe	品質保證：Mike Pickhinke、John Ratcliffe
You arrive at Bert's Park to the chirping of birds, the gurgling of brooks, and the wheezes of runners.	你抵達 Bert's Park，四周是鳥兒的啾啾聲、小溪的潺潺水聲，還有跑者上氣不接下氣的喘息聲。
You arrive at Bert's Park hoping to relax for a few minutes in its quiet ambience.	你抵達 Bert's Park，希望能在這片寧靜氛圍裡放鬆個幾分鐘。
The verdant green of Bert's Park sprawls over a few city blocks, an oasis amidst the smog and dust of the city.	Bert's Park 一片翠綠，橫跨了好幾個街區，宛如城市煙塵中的一片綠洲。
With a certain deftness and panache, you turn your siren off.	你以一種俐落又帥氣的動作，關掉了警笛。
With an adroit flick of your wrist, you flip your siren on.	你手腕輕巧一撥，打開了警笛。
You slew to a halt in front of the Blue Room, ready for action.	你在 Blue Room 前甩尾煞停，準備行動。
You arrive at the Blue Room for no apparent reason. Hopefully this is official, not personal, business.	你沒來由地抵達了 Blue Room。希望這是公務，不是私事。
That's the Blue Room.	那是 Blue Room。
You take 41 North to avoid a slow crawl through the heart of the city.	你走 41 號公路北向，避開市中心的塞車路段。
You cleverly zip onto 41 North in a bid to cut off the villain's escape route as he speeds east on Oak.	你機靈地切上 41 號公路北向，打算在壞人沿 Oak 街往東疾駛逃逸時截斷他的路線。
It's the on-ramp onto 41 North.	這是通往 41 號公路北向的上匝道。
You crash and die horribly. You grope at the pearly gates of heaven but instead, you are consigned to roast in the crackling embers of hell as a punishment for driving carelessly.	你撞車了，死得很慘。你摸索著想推開天堂的珍珠門，結果卻因為開車不小心，被打入地獄的熊熊烈焰中受烤。
Your utter disregard for traffic signals and stop signs is suitably rewarded as an 18-wheeler descends upon you. Another good young life cut short by sloppy driving technique.	你完全無視交通號誌和停車標誌，也得到了應得的報應——一輛十八輪大卡車朝你迎面而來。又一條年輕的生命，因為粗心的開車技術而提早結束。
After exiting Carol's, you slow for the upcoming intersection. Out of the corner of your eye, you spot a red sports car approaching from the east. It's not slowing down for the four-way stop. You instinctively prepare to take action.	離開 Carol's 之後，你放慢速度準備通過前方路口。眼角餘光瞥見一輛紅色跑車正從東邊駛來，完全沒有要在這個四向停車路口減速的意思。你直覺地做好行動準備。
What do you think you're doing?! You just ran a stop sign!	你在搞什麼鬼？！你剛剛闖了停車標誌！
The call of duty brings you back to the Police Station.	職責的召喚，把你帶回了警局。
You aimlessly wander back to the station, unsure of your next move.	你漫無目的地晃回警局，不確定接下來該做什麼。
Your heart skips a beat as you gaze proudly upon Lytton Police Station.	你驕傲地望著 Lytton 警局，心跳漏了一拍。
You arrive at the Court House.	你抵達了法院。
It's the Lytton Court House.	這是 Lytton 法院。
You come to a screaming stop at the Cotton Cove, leaving deep furrows in the lush green grass.	你在 Cotton Cove 尖聲煞車停下，在茂密的草地上留下深深的輪胎痕。
You arrive at Cotton Cove and let your bored gaze wander over its natural lawns.	你抵達 Cotton Cove，百無聊賴地讓視線在天然草坪上遊走。
It's Cotton Cove, a park with rolling hills, streams and ponds, within whose boundaries one can spot the occasional drug deal, mugging or other unsavory activity.	這是 Cotton Cove，一座有起伏丘陵、小溪與池塘的公園，在這片範圍裡，偶爾也能看見毒品交易、搶劫之類不太光彩的活動。
You arrive at the Delphoria, acutely aware of your tacky $11.00 thrift store jacket. You are briefly the cynosure of many pairs of beady eyes, looking at you contemptuously from behind gold-rimmed spectacles and extra dry martinis (shaken, not stirred...).	你抵達 Delphoria，強烈意識到自己身上那件廉價二手店買來、只花了 11 美元的俗氣外套。有那麼一瞬間，你成了眾人目光焦點，一雙雙銳利的眼睛透過金框眼鏡和超乾馬丁尼（搖過，不是攪的……）鄙夷地打量著你。
You pull up into the driveway of the hotel, fear chilling your spine to within a few degrees of Absolute Zero. You feel multitudinous unseen eyes watching your every move, ready to inflict an acute case of lead poisoning on you should you make the slightest false move.	你把車開進飯店車道，恐懼讓你的背脊涼到幾乎逼近絕對零度。你感覺無數雙看不見的眼睛正緊盯著你的一舉一動，只要你有一絲差錯，隨時準備讓你嚴重「鉛中毒」。
It's the Hotel Delphoria, a popular hangout for Lytton's seedier citizens, down-on-their-luck traveling salesmen, and most of the criminal element in town.	這是 Delphoria 飯店，深受 Lytton 較不入流的市民、走霉運的旅行推銷員，以及城裡大多數犯罪份子喜愛的聚集地。
You arrive at the county jail, wondering what might happen if any of the criminals you put behind bars were to escape and wreak a deadly vengeance upon you.	你抵達郡立監獄，心想萬一哪個被你關進去的罪犯逃了出來，對你展開致命報復，會發生什麼事。
You arrive at the Lytton Jail. A thin smile plays on your lips as you smugly recall the numerous vicious criminals and hoodlums you have put away in its dank, cavernous depths.	你抵達 Lytton 監獄。想起自己曾把多少凶惡罪犯和惡棍關進這座陰濕幽深的牢籠深處，你嘴角浮現一抹得意的微笑。
It's the Lytton Jail, within whose stony walls are imprisoned all the muggers, thieves, murderers, rapists, and drunk drivers that the LPD can apprehend.	這是 Lytton 監獄，石牆之內關著所有 LPD 能夠逮捕到的搶匪、竊賊、殺人犯、強姦犯和酒駕者。
It's already at capacity. Either Lytton needs a larger prison or fewer criminals.	這裡已經滿了。看來 Lytton 不是需要一座更大的監獄，就是需要少一點罪犯。
Your dismal failure to observe a red light proves fatal as you collide with a garbage truck and die a disgusting death.	你悲慘地未遵守紅燈，與垃圾車相撞，死得既難看又可悲。
You decide to take 41 South to avoid downtown Lytton's congestion.	你決定走 41 號公路南向，避開 Lytton 市中心的塞車。
It's the on-ramp to 41 South.	這是通往 41 號公路南向的上匝道。
You arrive at Caffeine Carol's.	你抵達 Caffeine Carol's。
You are too far away from Carol's.	你離 Carol's 太遠了。
You screech to a halt at the site of the car wreck with your siren wailing and lights flashing. A searing miasma of burning rubber and hot engine oil hits your lungs as you step out of your car.	你鳴著警笛、閃著警示燈，在車禍現場尖聲煞停。一下車，燒焦橡膠和滾燙機油的嗆人氣味立刻竄進你的肺裡。
You are too far from the scene of the car wreck.	你離車禍現場太遠了。
Dispatch, 83-32 enroute to 10-20. Doris, is that Caffeine Carol's?	調度，83-32 正前往 10-20 現場。Doris，那是 Caffeine Carol's 嗎？
Affirmative, Sonny. Don't eat too many donuts!	肯定，Sonny。甜甜圈別吃太多了！
Dispatch, 83-32 is 10-98 from Palm and Sixth.	調度，83-32 在 Palm 街與第六街已經 10-98。
83-32, your location is confirmed and noted. Hope you had a good coffee break, Sonny.	83-32，你的位置已確認並記錄。希望你的咖啡時間過得愉快，Sonny。
I sure did. Thanks, Doris.	那當然。謝了，Doris。
Dispatch, 83-NORA-10 enroute.	調度，83-NORA-10 正在前往途中。
83-21, my butt's moving as fast as it can. See you in a few, Steve-o.	83-21，我的屁股已經用最快的速度在動了。等下見，Steve-o。
Dispatch, 83-32 enroute to 10-20.	調度，83-32 正前往 10-20 現場。
Dispatch, 83-32 is 10-98 from the scene.	調度，83-32 已在現場 10-98。
83-32, location confirmed and noted.	83-32，位置已確認並記錄。
Dispatch, this is 83-NORA-10 enroute Lytton County Jail, 10-15.	調度，這裡是 83-NORA-10，正前往 Lytton 郡立監獄，10-15。
83-NORA-10, confirmed.	83-NORA-10，收到確認。
Dispatch, this is 83-32 enroute Lytton County Jail, 10-15.	調度，這裡是 83-32，正前往 Lytton 郡立監獄，10-15。
83-32, confirmed. Good job, Sonny!	83-32，收到確認。做得好，Sonny！
Dispatch, 83-32 enroute 10-20.	調度，83-32 正前往 10-20。
Dispatch, 83-NORA-10 enroute 10-20.	調度，83-NORA-10 正前往 10-20。
Dispatch, this is 83-32. Enroute Lytton County jail, 10-15.	調度，這裡是 83-32。前往 Lytton 郡監獄，10-15。
83-32, confirmed.	83-32，收到。
Thanks, Doris. You're music to my ears.	謝了，Doris。妳的聲音簡直是天籟。
Dispatch, 83-32 in pursuit of a possible DUI, Westbound Rose and Second.	調度，83-32 正追緝一輛疑似酒駕車輛，往西行駛於 Rose 街與 Second 街口。
Dispatch, 83-32 in pursuit of a 13301, Eastbound Fig and Ninth.	調度，83-32 正追緝一件 13301 案件，往東行駛於 Fig 街與 Ninth 街口。
83-32, message recieved.	83-32，訊息收到。
Dispatch, 83-32 currently (compass direction) bound on (streetname) and (streetname).	調度，83-32 目前朝（羅盤方位）方向行駛於（街道名稱）與（街道名稱）。
83-32, your location is confirmed and noted.	83-32，你的位置已確認並記錄。
Dispatch, 83-32 responding 10-20 Brock and Second.	調度，83-32 正前往處理 10-20，地點 Brock 街與 Second 街口。
You switch off your lights and siren.	你關掉了警示燈和警笛。
You switch on your lights and siren.	你打開了警示燈和警笛。
83-NORA-10, 10-19 immediately.	83-NORA-10，立即 10-19。
83-32, please respond to a domestic disturbance, Northwest corner of Poppy and Parkway.	83-32，請前往處理家庭糾紛案件，地點在 Poppy 街與 Parkway 街西北角。
83-32, please respond to a disturbance at Palm and Sixth.	83-32，請前往處理一起騷亂案件，地點在 Palm 街與 Sixth 街口。
83-NORA-10, please respond Poppy and Brock to ID a DB. Repeat, please respond to Cotton Cove immediately.	83-NORA-10，請前往 Poppy 街與 Brock 街辨識一具遺體。重複，請立即前往 Cotton Cove。
The car is gone. Let's hope he doesn't hurt anyone.	車子已經跑了。希望他別傷到任何人。
83-32, you are now 10-10. Just remindin' ya, honey.	83-32，你現在是 10-10 了。只是提醒你一下，親愛的。
Ouch! That curb just kinda snuck up on you, didn't it. So did the windshield, for that matter...	唉唷！那個路緣石是不是突然冒出來嚇你一跳？說到這個，擋風玻璃好像也是……
Your failure to perform a walk-around safety check allowed you to hit the streets on a tire bearing a large nail. The result was a flat tire.	你沒有做車前巡檢就上路，結果輪胎裡卡著一根大釘子。後果就是爆胎了。
You would normally be disciplined by the department for failure to follow established department procedure. In this case, however, your car broke down in an area not known for its love of the police department.	平常你沒有遵守局裡規定的標準程序，是會被處分的。不過這次，你的車偏偏在一個對警察沒什麼好感的地區拋錨了。
As you change the tire, a young citizen decides to see for himself whether or not a cop's head breaks when struck with a tire iron. It does.	你在換輪胎時，一名年輕市民決定親自驗證一下，警察的頭被輪胎扳手打到會不會破。結果證實了，會。
You got lucky this time, Bonds. You failed to perform a proper safety check on this vehicle. I wouldn't skip it next time. You never know what the consequences of neglecting procedure will be.	這次算你走運，Bonds。你沒有確實做好車輛安全檢查。下次可別再省略了。疏忽程序會有什麼後果，誰也說不準。
The driver finally sees you, and begins to pull over.	駕駛終於看到你了，開始靠邊停車。
You just ran a red light!	你剛剛闖紅燈了！
You just ran a stop sign!	你剛剛闖了停車再開標誌！
The stop sign runner got away. You need to brush up on your driving skills, Bonds.	那個闖停車再開標誌的傢伙跑掉了。Bonds，你的開車技術該練練了。
That car just ran a stop sign!	那輛車剛剛闖了停車再開標誌！
That person seems to be driving very erratically.	那個人開車看起來很異常。
83-32, this is 83-21. Get your ass over to Caffeine Carol's, boy! It's time for our coffee break!	83-32，這裡是 83-21。小子，快把屁股挪到 Carol 咖啡城堡來！我們的咖啡時間到了！
83-32, cancel 10-20 domestic disturbance. Possible stolen vehicle headed Southbound, Brock and second. Respond Code-3.	83-32，取消 10-20 家庭糾紛案件。有一輛疑似失竊車輛正往南行駛，位置在 Brock 街與 Second 街口。以 Code-3 應變前往。
83-32, this is 83-31. We have the suspect covered, but we're in a poor position. We'll need you to get him out of the car and take him down.	83-32，這裡是 83-31。我們已經包圍住嫌犯了，但我們的位置不利。需要你把他從車裡拉出來制伏。
83-31, this is 83-32. I'll get him for you, Jack.	83-31，這裡是 83-32。Jack，我來幫你把他拿下。
Be careful, Sonny. 83-31 out.	小心點，Sonny。83-31 通話結束。
Because you drove to the scene of a felony with all the speed of a 90-year-old tourist, other officers have already stopped the driver.	因為你開去重罪現場的速度，跟一個 90 歲的觀光客差不多，其他警員早就把駕駛攔下來了。
Oops! Only a Formula 1 car could have made a turn that fast, Bonds. Don't worry, the department will give you a lovely funeral, paid for out of your pension fund.	哎呀！Bonds，那種轉彎速度大概只有 F1 賽車做得到。別擔心，局裡會用你的退休金幫你辦一場風光的葬禮。
Because you wandered around the city like a stunned ox, other officers we're forced to handle the stop without your help.	因為你像一頭發呆的牛一樣在城裡瞎晃，其他警員只好在沒有你幫忙的情況下自己處理攔查。
83-32, please respond to 10-20 near the Northwest corner of Ninth and Rose. Possible 11-80.	83-32，請前往處理 10-20，地點在 Ninth 街與 Rose 街西北角附近。疑似 11-80。
You are recalled to the Police Station, and you return, your head hanging in shame and sorrow.	你被召回警局，垂頭喪氣地回去了。
The mass of alcohol laden air streaming behind the drunk's car seems to have overwhelmed your senses. You not only forgot to turn your lights on, but manage to lose him in the non-existent traffic.	那輛醉漢座車後方飄來的濃濃酒氣，似乎讓你整個人恍神了。你不但忘了打開警示燈，還在根本沒什麼車的路上把他跟丟了。
Hello, Sonny. We received a complaint from the owner of Caffeine Carol's. She says the bikers next door are taking up all her parking space. Could you go over and check it out?	哈囉，Sonny。我們收到 Carol 咖啡城堡老闆的投訴。她說隔壁那群騎士把她的停車位全佔滿了。可以麻煩你過去看看嗎？
